DEPTH	DT	ZDEN	GR	CNCF	M2RX	POR	PERM	SW	PROD
2227.45	62.21247	2.595201	85.93033	10.37803	36.98267	5.544449	0.08499155	53.68319	67.668847956524
2246.0	69.91573	2.5384	62.57452	12.18021	11.95534	7.835123	0.2291994	62.1413	210.785625967333
2247.7	66.25053	2.590199	55.5083	11.77874	13.28963	7.862186	0.2319053	58.68944	233.523757594593
2228.8	60.96536	2.6069	84.04459	9.470997	28.69485	5.080676	0.06951963	61.89146	41.7318139754762
2227.8501	61.78804	2.5937	84.10045	9.008236	40.20557	5.3189	0.07708043	53.27445	59.3931522741288
2246.6001	72.41752	2.544699	51.9553	11.6884	10.13281	9.432428	0.4578099	51.33715	651.511699414763
2228.25	61.48114	2.5909	76.13991	8.955887	30.72913	5.575163	0.08612759	57.26318	63.6235749166952
2246.5	72.71808	2.5449	52.49254	11.4974	9.940809	9.227111	0.4187955	52.981	563.322554133681
2227.6501	61.96903	2.595099	87.77441	9.92645	39.11572	5.406573	0.08006041	53.33169	62.6293572955417
2247.2	67.72857	2.552896	55.11103	11.9084	10.52222	9.028221	0.3842756	53.16491	503.770056321703
2247.9001	65.9723	2.5901	55.35421	10.76485	12.778	7.374953	0.1878106	62.40916	161.42745034926
2228.6001	61.14125	2.601496	80.97153	9.874409	27.45457	5.444373	0.0813855	60.51541	54.2423554197987
2228.7	61.04374	2.605098	82.65428	9.746149	27.67136	5.254729	0.07496379	61.5602	46.946041446179
2228.55	61.19255	2.599502	80.15654	9.893183	27.51056	5.529271	0.08443802	59.94429	57.9810867207438
2227.55	62.08284	2.5947	87.50563	10.20725	38.12354	5.485577	0.08284653	53.40667	65.6502506529557
2246.1001	70.55898	2.5391	61.19822	11.60872	11.3956	7.78754	0.224534	60.2413	215.54134033632
2247.55	66.49217	2.586604	57.21902	12.31594	12.61813	7.960776	0.2420233	59.57153	241.499306503926
2246.9001	70.17198	2.540902	52.87629	11.94799	10.72466	9.740783	0.5231919	48.2058	818.374350803621
